都道府県名,市区町村,人口(計)
北海道,札幌市中央区,244032.0
北海道,札幌市北区,285671.0
北海道,札幌市東区,261288.0
北海道,札幌市白石区,213006.0
北海道,札幌市豊平区,225221.0
北海道,札幌市南区,134537.0
北海道,札幌市西区,218455.0
北海道,札幌市厚別区,124667.0
北海道,札幌市手稲区,141260.0
北海道,札幌市清田区,111375.0
北海道,函館市,244431.0
北海道,小樽市,108548.0
北海道,旭川市,324186.0
北海道,室蘭市,78252.0
北海道,釧路市,160483.0
北海道,帯広市,164014.0
北海道,北見市,113036.0
北海道,夕張市,6729.0
北海道,岩見沢市,76753.0
北海道,網走市,33444.0
北海道,留萌市,19234.0
北海道,苫小牧市,168299.0
北海道,稚内市,31644.0
北海道,美唄市,19500.0
北海道,芦別市,11976.0
北海道,江別市,119169.0
北海道,赤平市,9008.0
北海道,紋別市,20618.0
北海道,士別市,17283.0
北海道,名寄市,26020.0
北海道,三笠市,7722.0
北海道,根室市,23546.0
北海道,千歳市,97664.0
北海道,滝川市,38062.0
北海道,砂川市,15909.0
北海道,歌志内市,2790.0
北海道,深川市,19161.0
北海道,富良野市,20223.0
北海道,登別市,45226.0
北海道,恵庭市,70179.0
北海道,伊達市,32395.0
北海道,石狩市,57954.0
北海道,北斗市,44366.0
北海道,石狩郡当別町,15329.0
北海道,石狩郡新篠津村,2853.0
北海道,松前郡松前町,6231.0
北海道,松前郡福島町,3571.0
北海道,上磯郡知内町,3983.0
北海道,上磯郡木古内町,3728.0
北海道,亀田郡七飯町,27934.0
北海道,茅部郡鹿部町,3649.0
北海道,茅部郡森町,14155.0
北海道,二海郡八雲町,15050.0
北海道,山越郡長万部町,4880.0
北海道,檜山郡江差町,6971.0
北海道,檜山郡上ノ国町,4362.0
北海道,檜山郡厚沢部町,3500.0
北海道,爾志郡乙部町,3331.0
北海道,奥尻郡奥尻町,2346.0
北海道,瀬棚郡今金町,4775.0
北海道,久遠郡せたな町,7147.0
北海道,島牧郡島牧村,1312.0
北海道,寿都郡寿都町,2738.0
北海道,寿都郡黒松内町,2612.0
北海道,磯谷郡蘭越町,4493.0
北海道,虻田郡ニセコ町,5088.0
北海道,虻田郡真狩村,1937.0
北海道,虻田郡留寿都村,1886.0
北海道,虻田郡喜茂別町,1988.0
北海道,虻田郡京極町,2844.0
北海道,虻田郡倶知安町,15636.0
北海道,岩内郡共和町,5508.0
北海道,岩内郡岩内町,11343.0
北海道,古宇郡泊村,1498.0
北海道,古宇郡神恵内村,782.0
北海道,積丹郡積丹町,1824.0
北海道,古平郡古平町,2720.0
北海道,余市郡仁木町,3128.0
北海道,余市郡余市町,17561.0
北海道,余市郡赤井川村,1106.0
北海道,空知郡南幌町,7546.0
北海道,空知郡奈井江町,4966.0
北海道,空知郡上砂川町,2578.0
北海道,夕張郡由仁町,4783.0
北海道,夕張郡長沼町,10158.0
北海道,夕張郡栗山町,11107.0
北海道,樺戸郡月形町,2864.0
北海道,樺戸郡浦臼町,1651.0
北海道,樺戸郡新十津川町,6389.0
北海道,雨竜郡妹背牛町,2691.0
北海道,雨竜郡秩父別町,2297.0
北海道,雨竜郡雨竜町,2154.0
北海道,雨竜郡北竜町,1674.0
北海道,雨竜郡沼田町,2900.0
北海道,上川郡鷹栖町,6666.0
北海道,上川郡東神楽町,9945.0
北海道,上川郡当麻町,6174.0
北海道,上川郡比布町,3505.0
北海道,上川郡愛別町,2569.0
北海道,上川郡上川町,3202.0
北海道,上川郡東川町,8601.0
北海道,上川郡美瑛町,9573.0
北海道,空知郡上富良野町,10110.0
北海道,空知郡中富良野町,4686.0
北海道,空知郡南富良野町,2341.0
北海道,勇払郡占冠村,1394.0
北海道,上川郡和寒町,3006.0
北海道,上川郡剣淵町,2888.0
北海道,上川郡下川町,3027.0
北海道,中川郡美深町,3890.0
北海道,中川郡音威子府村,668.0
北海道,中川郡中川町,1336.0
北海道,雨竜郡幌加内町,1308.0
北海道,増毛郡増毛町,3853.0
北海道,留萌郡小平町,2838.0
北海道,苫前郡苫前町,2839.0
北海道,苫前郡羽幌町,6361.0
北海道,苫前郡初山別村,1081.0
北海道,天塩郡遠別町,2423.0
北海道,天塩郡天塩町,2814.0
北海道,宗谷郡猿払村,2637.0
北海道,枝幸郡浜頓別町,3351.0
北海道,枝幸郡中頓別町,1570.0
北海道,枝幸郡枝幸町,7467.0
北海道,天塩郡豊富町,3702.0
北海道,礼文郡礼文町,2314.0
北海道,利尻郡利尻町,1894.0
北海道,利尻郡利尻富士町,2259.0
北海道,天塩郡幌延町,2196.0
北海道,網走郡美幌町,18171.0
北海道,網走郡津別町,4211.0
北海道,斜里郡斜里町,10888.0
北海道,斜里郡清里町,3803.0
北海道,斜里郡小清水町,4501.0
北海道,常呂郡訓子府町,4636.0
北海道,常呂郡置戸町,2671.0
北海道,常呂郡佐呂間町,4767.0
北海道,紋別郡遠軽町,18511.0
北海道,紋別郡湧別町,8096.0
北海道,紋別郡滝上町,2363.0
北海道,紋別郡興部町,3595.0
北海道,紋別郡西興部村,1030.0
北海道,紋別郡雄武町,4130.0
北海道,網走郡大空町,6771.0
北海道,虻田郡豊浦町,3627.0
北海道,有珠郡壮瞥町,2362.0
北海道,白老郡白老町,15721.0
北海道,勇払郡厚真町,4381.0
北海道,虻田郡洞爺湖町,8147.0
北海道,勇払郡安平町,7314.0
北海道,勇払郡むかわ町,7488.0
北海道,沙流郡日高町,11315.0
北海道,沙流郡平取町,4594.0
北海道,新冠郡新冠町,5187.0
北海道,浦河郡浦河町,11694.0
北海道,様似郡様似町,3983.0
北海道,幌泉郡えりも町,4320.0
北海道,日高郡新ひだか町,21040.0
北海道,河東郡音更町,43268.0
北海道,河東郡士幌町,5883.0
北海道,河東郡上士幌町,4890.0
北海道,河東郡鹿追町,5144.0
北海道,上川郡新得町,5581.0
北海道,上川郡清水町,9047.0
北海道,河西郡芽室町,18029.0
北海道,河西郡中札内村,3902.0
北海道,河西郡更別村,3158.0
北海道,広尾郡大樹町,5439.0
北海道,広尾郡広尾町,6229.0
北海道,中川郡幕別町,25897.0
北海道,中川郡池田町,6159.0
北海道,中川郡豊頃町,2977.0
北海道,中川郡本別町,6375.0
北海道,足寄郡足寄町,6350.0
北海道,足寄郡陸別町,2217.0
北海道,十勝郡浦幌町,4302.0
北海道,釧路郡釧路町,18879.0
北海道,厚岸郡厚岸町,8589.0
北海道,厚岸郡浜中町,5411.0
北海道,川上郡標茶町,7179.0
北海道,川上郡弟子屈町,6699.0
