都道府県名,市区町村,人口,地価中央値,人口地価積
東京都,港区,261615.0,2630.0,688.04745
東京都,世田谷区,915439.0,679.0,621.583081
東京都,中央区,174074.0,2665.0,463.90721
東京都,新宿区,346279.0,1235.0,427.654565
東京都,大田区,728425.0,534.0,388.97895
東京都,品川区,404196.0,939.0,379.540044
東京都,渋谷区,229412.0,1640.0,376.23568
東京都,杉並区,570786.0,582.0,332.197452
東京都,練馬区,738914.0,416.5,307.757681
東京都,江東区,532882.0,543.0,289.354926
東京都,目黒区,278635.0,935.0,260.523725
東京都,江戸川区,688153.0,373.0,256.681069
東京都,板橋区,568241.0,444.5,252.5831245
東京都,豊島区,288704.0,857.0,247.419328
東京都,文京区,229653.0,1040.0,238.83912
東京都,中野区,333593.0,677.0,225.842461
東京都,足立区,690114.0,315.5,217.730967
東京都,台東区,207479.0,1024.0,212.458496
東京都,千代田区,67911.0,3075.0,208.826325
東京都,北区,353732.0,557.0,197.028724
大阪府,大阪市北区,136637.0,1195.0,163.281215
大阪府,大阪市中央区,112405.0,1390.0,156.24295
東京都,葛飾区,464175.0,333.0,154.570275
東京都,墨田区,279985.0,543.0,152.031855
福岡県,福岡市中央区,197535.0,716.0,141.43506
兵庫県,西宮市,482796.0,287.0,138.562452
埼玉県,川口市,604715.0,205.0,123.966575
千葉県,市川市,491577.0,242.0,118.961634
東京都,荒川区,216814.0,544.0,117.946816
神奈川県,川崎市中原区,261075.0,442.0,115.39515
神奈川県,横浜市港北区,354558.0,305.0,108.14019
千葉県,船橋市,647037.0,154.0,99.643698
大阪府,大阪市西区,105944.0,928.0,98.316032
東京都,武蔵野市,147964.0,642.0,94.992888
京都府,京都市中京区,104980.0,895.0,93.9571
愛知県,名古屋市中区,92840.0,978.0,90.79752
神奈川県,横浜市青葉区,309573.0,290.0,89.77617
大阪府,豊中市,407695.0,209.0,85.208255
東京都,調布市,238505.0,352.0,83.95376
兵庫県,尼崎市,458895.0,182.0,83.51889
神奈川県,横浜市鶴見区,293430.0,280.0,82.1604
神奈川県,藤沢市,445177.0,180.5,80.3544485
東京都,三鷹市,189916.0,422.0,80.144552
大阪府,吹田市,381316.0,208.0,79.313728
